,year_film,year_ceremony,ceremony,film,winner,original_language,original_title,release_date,vote_average,genre,rating,duration,era
64,1936,1937,9,Mr. Deeds Goes to Town,False,en,Mr. Deeds Goes to Town,1936-04-09,7.486,"['Comedy', 'Drama', 'Romance']",7.8,115.0,Golden Era
65,1936,1937,9,Romeo and Juliet,False,en,Romeo and Juliet,1936-09-03,5.979,"['Drama', 'Romance']",6.5,125.0,Golden Era
66,1936,1937,9,San Francisco,False,en,San Francisco,1936-06-26,6.719,"['Drama', 'Music', 'Romance']",7.2,115.0,Golden Era
67,1936,1937,9,The Story of Louis Pasteur,False,en,The Story of Louis Pasteur,1936-02-22,6.789,"['Drama', 'History']",7.3,86.0,Golden Era
68,1936,1937,9,A Tale of Two Cities,False,en,A Tale of Two Cities,1935-12-25,6.712,"['History', 'Romance', 'Drama']",7.8,128.0,Golden Era
69,1936,1937,9,Three Smart Girls,False,en,Three Smart Girls,1936-12-20,6.4,"['Comedy', 'Romance', 'Music']",6.6,84.0,Golden Era
70,1937,1938,10,The Awful Truth,False,en,The Awful Truth,1937-10-20,7.262,"['Comedy', 'Romance']",7.7,90.0,Golden Era
71,1937,1938,10,Captains Courageous,False,en,Captains Courageous,1937-06-25,7.4,"['Adventure', 'Drama', 'Family']",7.9,117.0,Golden Era
72,1937,1938,10,Dead End,False,en,Dead End,1937-08-27,6.941,"['Crime', 'Drama']",7.2,93.0,Golden Era
73,1937,1938,10,The Good Earth,False,en,The Good Earth,1937-06-02,6.205,"['Drama', 'History', 'Romance']",7.5,138.0,Golden Era
74,1937,1938,10,In Old Chicago,False,en,In Old Chicago,1938-04-15,6.441,"['Action', 'Drama']",6.7,95.0,Golden Era
75,1937,1938,10,The Life of Emile Zola,True,en,The Life of Emile Zola,1937-09-09,6.581,"['Drama', 'History']",7.2,116.0,Golden Era
76,1937,1938,10,Lost Horizon,False,en,Lost Horizon,1937-03-03,7.068,"['Adventure', 'Fantasy', 'Drama', 'Romance']",7.6,132.0,Golden Era
77,1937,1938,10,One Hundred Men and a Girl,False,en,One Hundred Men and a Girl,1937-09-05,6.3,"['Comedy', 'Drama', 'Music']",6.7,84.0,Golden Era
78,1937,1938,10,Stage Door,False,en,Stage Door,1937-10-07,6.9,"['Comedy', 'Drama']",7.7,92.0,Golden Era
79,1937,1938,10,A Star Is Born,False,en,A Star Is Born,1937-04-27,7.157,"['Drama', 'Romance']",7.3,111.0,Golden Era
80,1938,1939,11,The Adventures of Robin Hood,False,en,The Adventures of Robin Hood,1938-05-13,7.445,"['Adventure', 'Romance', 'History']",7.9,102.0,Golden Era
81,1938,1939,11,Alexander's Ragtime Band,False,en,Alexander's Ragtime Band,1938-05-24,6.604,"['Drama', 'Music', 'Romance']",6.8,106.0,Golden Era
82,1938,1939,11,Boys Town,False,en,Boys Town,1938-09-08,6.704,['Drama'],7.2,96.0,Golden Era
83,1938,1939,11,The Citadel,False,en,The Citadel,1938-10-29,6.3,"['Drama', 'Romance']",7.1,110.0,Golden Era
84,1938,1939,11,Four Daughters,False,en,Four Daughters,1938-08-09,6.5,"['Drama', 'Music', 'Romance']",6.9,90.0,Golden Era
85,1938,1939,11,Grand Illusion,False,fr,La Grande Illusion,1937-06-04,7.858,"['Drama', 'History', 'War']",8.1,113.0,Golden Era
86,1938,1939,11,Jezebel,False,en,Jezebel,1938-03-26,7.066,"['Drama', 'Romance']",7.4,104.0,Golden Era
87,1938,1939,11,Pygmalion,False,en,Pygmalion,1939-03-03,6.976,"['Comedy', 'Romance', 'Drama']",7.7,96.0,Golden Era
88,1938,1939,11,Test Pilot,False,en,Test Pilot,1938-04-16,6.555,"['Drama', 'Romance']",6.8,119.0,Golden Era
89,1938,1939,11,You Can't Take It with You,True,en,You Can't Take It with You,1938-09-01,7.468,"['Comedy', 'Romance']",7.8,126.0,Golden Era
90,1939,1940,12,Dark Victory,False,en,Dark Victory,1939-04-20,6.932,"['Drama', 'Romance']",7.4,104.0,Golden Era
91,1939,1940,12,Gone with the Wind,True,en,Gone with the Wind,1939-12-15,7.962,"['Drama', 'War', 'Romance']",8.2,238.0,Golden Era
92,1939,1940,12,"Goodbye, Mr. Chips",False,en,"Goodbye, Mr. Chips",1939-07-28,7.415,"['Drama', 'Romance']",7.9,114.0,Golden Era
93,1939,1940,12,Love Affair,False,en,Love Affair,1939-04-07,7.071,"['Drama', 'Romance']",7.3,88.0,Golden Era
94,1939,1940,12,Mr. Smith Goes to Washington,False,en,Mr. Smith Goes to Washington,1939-10-19,7.885,"['Comedy', 'Drama']",8.1,129.0,Golden Era
95,1939,1940,12,Ninotchka,False,en,Ninotchka,1939-11-23,7.499,"['Comedy', 'Romance']",7.8,110.0,Golden Era
96,1939,1940,12,Of Mice and Men,False,en,Of Mice and Men,1939-12-24,7.264,['Drama'],7.8,106.0,Golden Era
