genre_ids,original_language,original_title,overview,release_date,title,vote_average
"[10402, 10749]",en,One Night of Love,"Mary Barrett is an aspiring opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi. After spending endless working hours together and arguing, their relationship develops into love. But, jealousy and misunderstandings prevent Mary and Guilio from acknowledging their true feelings.",1934-07-16,One Night of Love,5.7
"[35, 80, 9648]",en,The Thin Man,A husband and wife detective team takes on the search for a missing inventor and almost get killed for their efforts.,1934-05-25,The Thin Man,7.501
[37],en,Viva Villa!,"In this fictionalized biography, young Pancho Villa takes to the hills after killing an overseer in revenge for his father's death.",1934-04-27,Viva Villa!,6.316
[18],en,The White Parade,"The title represents the hopeful, ambitious students at a hospital training school and is primarily a story of the stern discipline and laborious physical and mental toil they endure in order to become nurses and join the White Parade. It is told mainly through the character of June Arden who finds romance with Ronald Hall III on the way, with side stories of the other girls who find failure, success, laughs and tears on the way.",1934-11-16,The White Parade,6.0
"[35, 18, 10749]",en,Alice Adams,"In the lower-middle-class Adams family, father and son are happy to work in a drugstore, but mother and daughter Alice try every possible social-climbing stratagem despite snubs and embarrassment. When Alice finally meets her dream man Arthur, mother nags father into a risky business venture and plans to impress Alice's beau with an ""upscale"" family dinner. Will the excruciating results drive Arthur away?",1935-08-23,Alice Adams,6.7
"[10402, 10749]",en,Broadway Melody of 1936,"Lovely, gifted Irene Foster hopes that her childhood sweetheart-turned Broadway producer Robert Gordon will recognize her--and her talent. Gordon is too busy sparring with a dirt-dishing gossip columnist to notice, but his wisecracking, heart-of-gold secretary certainly does. She and Irene must use their wits to show him what he's missing!",1935-09-18,Broadway Melody of 1936,6.353
"[12, 28, 36, 10749]",en,Captain Blood,"Dr. Peter Blood, unjustly convicted of treason and exiled from England, becomes a notorious pirate.",1935-12-26,Captain Blood,7.25
"[12, 18, 10749, 10751]",en,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger","Charles Dickens' timeless tale of an ordinary young man who lives an extraordinary life, filled with people who help and hinder him.",1935-01-18,David Copperfield,6.6
"[80, 18]",en,The Informer,"Gypo Nolan is a former Irish Republican Army man who drowns his sorrows in the bottle. He's desperate to escape his bleak Dublin life and start over in America with his girlfriend. So when British authorities advertise a reward for information about his best friend, current IRA member Frankie, Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?",1935-05-09,The Informer,6.756
"[18, 36]",fr,Les Misérables,"The lives of numerous people over the course of 20 years in 19th century France, weaved together by the story of an ex-convict named Jean Valjean on the run from an obsessive police inspector, who pursues him for only a minor offense.",1934-02-09,Les Misérables,7.798
"[12, 18, 10752]",en,The Lives of a Bengal Lancer,"In the Northwest Frontier of India, the 41st Bengal Lancers leaded by the harsh Colonel Tom Stone are having trouble with the rebellious leader Mohammed Khan. After two casualties, the experienced but insubordinate Lieutenant Alan McGregor receives as replacement, the arrogant Lieutenant Forsythe and the immature son of Colonel Stone, Lieutenant Donald Stone. With the intention to prove that he will not have any privilege in the troop, the reception of Colonel Stone to his son is absolutely cold, but he becomes the protégé of McGregor. When Lieutenant Stone is kidnapped by Mohammed Khan, McGregor and Forsythe disobey the direct order of their commander, disguise as Indian peddlers and go to Khan's fortress to attempt to rescue their friend.",1935-01-11,The Lives of a Bengal Lancer,6.75
"[14, 10749, 35]",en,A Midsummer Night's Dream,"Four young people escape Athens to a forest where the king and queen of the fairies are quarreling, while meanwhile, a troupe of amateur actors rehearses a play. When the fairy Puck uses a magic flower to make people fall in love, the whole thing becomes a little bit confused...",1935-10-09,A Midsummer Night's Dream,6.686
"[12, 18, 36]",en,Mutiny on the Bounty,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on revenge.",1935-11-22,Mutiny on the Bounty,7.3
"[10402, 10749, 18]",en,Naughty Marietta,"A French princess flees an arranged marriage and sails for New Orleans, where she is rescued from pirates by a dashing mercenary.",1935-03-29,Naughty Marietta,4.214
[35],en,Ruggles of Red Gap,"In this comedy of an Englishman stranded in a sea of barbaric Americans, Marmaduke Ruggles, a gentleman's gentleman and butler to an Earl is lost in a poker game to an uncouth American cattle baron. Ruggles's life is turned upside down as he's taken to the USA, is gradually assimilated into American life, accidently becomes a local celebrity, and falls in love along the way.",1935-03-08,Ruggles of Red Gap,7.016
"[35, 10402, 10749]",en,Top Hat,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",1935-08-29,Top Hat,7.3
"[18, 10749, 12, 36]",en,Anthony Adverse,"Based on the novel by Hervey Allen, this expansive drama follows the many adventures of the eponymous hero, Anthony Adverse. Abandoned at a convent by his heartless nobleman father, Don Luis, Anthony is later mentored by his kind grandfather, John Bonnyfeather, and falls for the beautiful Angela Giuseppe. When circumstances separate Anthony and Angela and he embarks on a long journey, he must find his way back to her, no matter what the cost.",1936-08-26,Anthony Adverse,5.935
"[18, 10749]",en,Dodsworth,A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.,1936-09-23,Dodsworth,7.159
"[18, 10402, 10749]",en,The Great Ziegfeld,"Lavish biography of Flo Ziegfeld, the producer who became Broadway's biggest starmaker.",1936-04-08,The Great Ziegfeld,6.221
"[35, 10749]",en,Libeled Lady,"When a major newspaper accuses wealthy socialite Connie Allenbury of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty, must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton, and his dashing friend Bill Chandler are in on a scheme that aims to discredit Connie, with amusing and unexpected results.",1936-10-09,Libeled Lady,7.313
"[35, 18, 10749]",en,Mr. Deeds Goes to Town,"Longfellow Deeds lives in a small town, leading a small town kind of life. When a relative dies and leaves Deeds a fortune, Longfellow moves to the big city where he becomes an instant target for everyone. Deeds outwits them all until Babe Bennett comes along. When small-town boy meets big-city girl anything can, and does, happen.",1936-04-09,Mr. Deeds Goes to Town,7.486
"[18, 10749]",en,Romeo and Juliet,Young love is poisoned by a generations long feud between two noble families.,1936-09-03,Romeo and Juliet,5.979
"[18, 10402, 10749]",en,San Francisco,A beautiful singer and a battling priest try to reform a Barbary Coast saloon owner in the days before the great earthquake and subsequent fires in 1906.,1936-06-26,San Francisco,6.719
"[18, 36]",en,The Story of Louis Pasteur,"A true story about Louis Pasteur, who revolutionized medicine by proving that much disease is caused by microbes, that sanitation is paramount and that at least some diseases can be cured by vaccinations.",1936-02-22,The Story of Louis Pasteur,6.789
"[36, 10749, 18]",en,A Tale of Two Cities,"The exciting story of Dr. Manette, who escapes the horrors of the infamous Bastille prison in Paris. The action switches between London and Paris on the eve of the revolution where we witness 'the best of times and the worst of times' - love, hope, the uncaring French Aristocrats and the terror of a revolutionary citizen's army intent on exacting revenge.",1935-12-25,A Tale of Two Cities,6.712
