genre_ids,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
"[12, 18, 10751]",16515,en,Captains Courageous,"Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man.",11.445,1937-06-25,Captains Courageous,7.36,143
"[80, 18]",27973,en,Dead End,"Mobster ""Baby Face"" Martin returns home to visit the New York neighborhood where he grew up, dropping in on his mother, who rejects him because of his gangster lifestyle, and his old girlfriend, Francey, now a syphilitic prostitute. Martin also crosses paths with Dave, a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city's East Side slums.",13.932,1937-08-27,Dead End,6.9,109
"[18, 36, 10749]",36652,en,The Good Earth,"China, during the rule of the Qing Dynasty. The arranged marriage between Wang Lung, a humble farmer, and O-Lan, a domestic slave, will endure the many hardships of life over the years; but the temptations of a fragile prosperity will endanger their love and the survival of their entire family.",9.61,1937-06-02,The Good Earth,6.2,61
"[18, 36]",43278,en,The Life of Emile Zola,Biopic of the famous French writer Emile Zola and his involvement in the Dreyfus Affair.,8.39,1937-09-09,The Life of Emile Zola,6.578,116
"[12, 14, 18, 10749]",3598,en,Lost Horizon,"British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.",12.808,1937-03-03,Lost Horizon,7.1,187
"[35, 18, 10402]",61647,en,One Hundred Men and a Girl,"The daughter of a struggling musician forms a symphony orchestra made up of his unemployed friends and through persistence, charm and a few misunderstandings, is able to get Leopold Stokowski to lead them in a concert that leads to a radio contract.",2.868,1937-09-05,One Hundred Men and a Girl,6.3,19
"[35, 18]",43864,en,Stage Door,"The ups and downs in the lives and careers of a group of ambitious young actresses and show girls from disparate backgrounds brought together in a theatrical hostel. Centres particularly on the conflict and growing friendship between Terry Randall, a rich girl confident in her talent and ability to make it to the top on the stage, and Jean Maitland, a world weary and cynical trouper who has taken the hard knocks of the ruthless and over-populated world of the Broadway apprentice.",12.051,1937-10-07,Stage Door,6.9,94
"[18, 10749]",22692,en,A Star Is Born,"Esther Blodgett is just another starry-eyed farm kid trying to break into the movies. Waitressing at a Hollywood party, she catches the eye of her idol Norman Maine, is sent for a screen test, and before long attains stardom as newly minted Vicki Lester. She and Norman marry, though his career soon dwindles to nothing due to his chronic alcoholism.",13.78,1937-04-27,A Star Is Born,7.2,187
"[12, 10749, 36]",10907,en,The Adventures of Robin Hood,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.,21.418,1938-05-13,The Adventures of Robin Hood,7.453,682
"[18, 10402, 10749]",43839,en,Alexander's Ragtime Band,"Classical violinist, Roger Grant disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with the band's singer, Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend and, when Roger returns home after the war, an important concert at Carnegie Hall brings the corners of the romantic triangle together.",6.321,1938-05-24,Alexander's Ragtime Band,6.6,23
