,year_film,year_ceremony,ceremony,name,film,winner
2712,1952,1953,25,Romulus Films,Moulin Rouge,False
2713,1952,1953,25,"John Ford and Merian C. Cooper, Producers",The Quiet Man,False
2839,1953,1954,26,"Buddy Adler, Producer",From Here to Eternity,True
2840,1953,1954,26,"John Houseman, Producer",Julius Caesar,False
2841,1953,1954,26,"Frank Ross, Producer",The Robe,False
2842,1953,1954,26,"William Wyler, Producer",Roman Holiday,False
2843,1953,1954,26,"George Stevens, Producer",Shane,False
2965,1954,1955,27,"Stanley Kramer, Producer",The Caine Mutiny,False
2966,1954,1955,27,"William Perlberg, Producer",The Country Girl,False
2967,1954,1955,27,"Sam Spiegel, Producer",On the Waterfront,True
2968,1954,1955,27,"Jack Cummings, Producer",Seven Brides for Seven Brothers,False
2969,1954,1955,27,"Sol C. Siegel, Producer",Three Coins in the Fountain,False
3092,1955,1956,28,"Buddy Adler, Producer",Love Is a Many-Splendored Thing,False
3093,1955,1956,28,"Harold Hecht, Producer",Marty,True
3094,1955,1956,28,"Leland Hayward, Producer",Mister Roberts,False
3095,1955,1956,28,"Fred Kohlmar, Producer",Picnic,False
3096,1955,1956,28,"Hal B. Wallis, Producer",The Rose Tattoo,False
3222,1956,1957,29,"Michael Todd, Producer",Around the World in 80 Days,True
3223,1956,1957,29,"William Wyler, Producer",Friendly Persuasion,False
3224,1956,1957,29,"George Stevens and Henry Ginsberg, Producers",Giant,False
3225,1956,1957,29,"Charles Brackett, Producer",The King and I,False
3226,1956,1957,29,"Cecil B. DeMille, Producer",The Ten Commandments,False
3325,1957,1958,30,"Sam Spiegel, Producer",The Bridge on the River Kwai,True
3326,1957,1958,30,"Jerry Wald, Producer",Peyton Place,False
3327,1957,1958,30,"William Goetz, Producer",Sayonara,False
3328,1957,1958,30,"Henry Fonda and Reginald Rose, Producers",12 Angry Men,False
3329,1957,1958,30,"Arthur Hornblow, Jr., Producer",Witness for the Prosecution,False
3441,1958,1959,31,Warner Bros.,Auntie Mame,False
3442,1958,1959,31,"Lawrence Weingarten, Producer",Cat on a Hot Tin Roof,False
3443,1958,1959,31,"Stanley Kramer, Producer",The Defiant Ones,False
3444,1958,1959,31,"Arthur Freed, Producer",Gigi,True
3445,1958,1959,31,"Harold Hecht, Producer",Separate Tables,False
3558,1959,1960,32,"Otto Preminger, Producer",Anatomy of a Murder,False
3559,1959,1960,32,"Sam Zimbalist, Producer",Ben-Hur,True
3560,1959,1960,32,"George Stevens, Producer",The Diary of Anne Frank,False
3561,1959,1960,32,"Henry Blanke, Producer",The Nun's Story,False
3562,1959,1960,32,"John Woolf and James Woolf, Producers",Room at the Top,False
